source: https://github.com/Parik27/ghidra_scm

03BC, 2
03BD, 1
03BE, 1
03BF, 6
03C0, 0
03C1, 0
03C2, 0
03C3, 6
03C4, 1
03C5, 1
03C6, 1
03C7, 4
03C8, 0
03C9, 1
03CA, 0
03CB, 0
03CC, 0
03CD, 1
03CE, 0
03CF, 4
03D0, 4
03D1, 1
03D2, 7
03D3, 1
03D4, 1
03D5, 2
03D6, 2
03D7, 2
03D8, 1
03D9, 1
03DA, 2
03DB, 0
03DC, 0
03DD, 0
03DE, 2
03DF, 1
03E0, 1
03E1, 1
03E2, 10
03E5, 0
03E6, 1
03E7, 5
03E8, 1
03E9, 2
03EA, 3
03EB, 3
03EC, 3
03ED, 4
03EE, 5
03EF, 1
03F0, 1
03F1, 1
03F2, 1
03F3, 0
03F4, 5
03F5, 4
03F6, 4
03F7, 2
03F8, 1
03F9, 4
03FA, 1
03FB, 3
03FC, 2
03FD, 0
03FE, 2
03FF, 6
0400, 2
0401, 1
0402, 1
0403, 3
0404, 3
0405, 2
0406, 1
0407, 1
0408, 1
0409, 1
040A, 2
040B, 2
040C, 5
040D, 4
040F, 2
0410, 1
0411, 1
0412, 1
0413, 4
0414, 3
0415, 10
0416, 6
0417, 5
0418, 3
0419, 5
041A, 2
041B, 2
041C, 2
041D, 4
041E, 1
041F, 1
0420, 1
0421, 5
0422, 4
0423, 4
0424, 1
0425, 9
0426, 4
0427, 4
0428, 13
0429, 2
042A, 2
042B, 2
042C, 2
042D, 2
042E, 1
042F, 2
0430, 2
0431, 2
0432, 2
0433, 6
0434, 2
0435, 2
0436, 1
0437, 1
0438, 1
0439, 1
043A, 2
043B, 1
043C, 3
043D, 3
043E, 8
043F, 1
0440, 2
0441, 1
0442, 2
0443, 1
0444, 1
0445, 1
0446, 1
0447, 2
0448, 4
0449, 2
044A, 2
044B, 0
044C, 1
044D, 4
044E, 2
044F, 0
0450, 3
0451, 3
0452, 5
0453, 5
0454, 5
0455, 12
0456, 1
0457, 5
